159015	412312
118671	62136
60398	32242
39633	21139
29771	16244
23458	13086
19572	11022
16936	9248
14927	8288
13160	7561
11904	6885
10506	6314
9782	5597
8783	5399
8228	5040
7733	4610
7366	4446
6974	4243
6771	3885
6522	3829
6276	3538
6046	3391
5828	3388
5531	3216
5426	3109
5397	3034
5193	2867
4955	2811
4721	2689
4720	2624
4384	2402
4138	2342
4102	2238
4050	2176
4003	2192
3843	2076
3810	1991
3764	1996
3511	1913
3674	1851
3649	1924
3558	1832
3510	1712
3601	1657
3705	1607
3629	1516
3609	1431
3388	1286
3243	1104
3169	795
2059	368
710602
