GENE	DEGREE	NUM_SAMPLE_DEREGULATED	FREQUENCY_SAMPLE_DEREGULATED	NUM_SAMPLE_EXPLAINED	NUM_SAMPLE_EXPLAINED	FREQUENCY_SAMPLE_EXPLAINED	EXPLAINED\DEREGULATED	IS_PHENOTYPE
PAX6_DOWN	60	22	0.07	21	0.06	0.95	N	0.00000
PCAF_DOWN	123	5	0.02	5	0.02	1.00	N	0.00000
PCDH17_DOWN	105	28	0.09	14	0.04	0.50	N	0.00000
PCDH8_DOWN	105	61	0.19	34	0.10	0.56	Y	0.00000
PCDH9_DOWN	106	79	0.24	44	0.13	0.56	Y	0.00000
PCSK1_DOWN	16	140	0.43	21	0.06	0.15	N	0.00000
PCSK1N_DOWN	1	95	0.29	14	0.04	0.15	N	0.00000
PCSK2_DOWN	11	268	0.82	35	0.11	0.13	N	0.00000
PDE1A_DOWN	5	239	0.73	15	0.05	0.06	N	0.00000
PDGFA_DOWN	71	8	0.02	6	0.02	0.75	N	0.00000
PDGFC_DOWN	17	3	0.01	2	0.01	0.67	Y	0.00000
PDGFRA_DOWN	90	9	0.03	8	0.02	0.89	Y	0.00000
PDHA1_DOWN	14	4	0.01	1	0.00	0.25	N	0.00000
PDHX_DOWN	7	1	0.00	1	0.00	1.00	N	0.00000
PDYN_DOWN	29	287	0.88	22	0.07	0.08	N	0.00000
PDZD2_DOWN	4	48	0.15	18	0.05	0.38	N	0.00000
PEG3_DOWN	3	154	0.47	51	0.16	0.33	Y	0.00000
PENK_DOWN	33	12	0.04	3	0.01	0.25	N	0.00000
PFDN2_DOWN	27	1	0.00	1	0.00	1.00	N	0.00000
PFKM_DOWN	7	15	0.05	1	0.00	0.07	N	0.00000
PFKP_DOWN	5	58	0.18	1	0.00	0.02	N	0.00000
PFN2_DOWN	9	13	0.04	1	0.00	0.08	N	0.00000
PFTK1_DOWN	10	18	0.05	1	0.00	0.06	N	0.00000
PI4KA_DOWN	41	207	0.63	120	0.37	0.58	Y	0.00000
PIK3R1_DOWN	353	32	0.10	31	0.09	0.97	N	0.00000
PIN1_DOWN	20	8	0.02	7	0.02	0.88	N	0.00000
PIP4K2A_DOWN	38	4	0.01	4	0.01	1.00	N	0.00000
PIP5K1C_DOWN	49	18	0.05	15	0.05	0.83	N	0.00000
PITPNA_DOWN	2	6	0.02	3	0.01	0.50	N	0.00000
PJA1_DOWN	1	22	0.07	1	0.00	0.05	N	0.00000
PKIA_DOWN	4	48	0.15	6	0.02	0.12	N	0.00000
PKM2_DOWN	6	2	0.01	1	0.00	0.50	N	0.00000
PLCB1_DOWN	142	1	0.00	1	0.00	1.00	N	0.00000
PLK2_DOWN	12	78	0.24	5	0.02	0.06	N	0.00000
PLP1_DOWN	4	85	0.26	22	0.07	0.26	Y	0.00000
