   7295 
      1 ARHGEF6
     28 ARHGEF6_DOWN
     14 ARHGEF6_UP
      1 ARHGEF7
      1 ARHGEF7_UP
      1 ARHGEF9
      1 ARHGEF9_DOWN
      1 ARID1A
      1 ARID1B
      1 ARID3A_UP
      4 ARL3
      1 ARL5B
      1 ARNT
     17 ARNT2_DOWN
      2 ARNTL2_UP
     50 ARNTL_DOWN
      2 ARPC1A
      2 ARPC1B
     14 ARPC1B_UP
      7 ARRB1_UP
     61 AR_UP
      1 ASAH1
      2 ASAP1
      1 ASAP2
      6 ASCL1_UP
     13 ASF1B_UP
      2 ASNS
      1 ASNS_DOWN
      4 ASPM
     28 ASPM_UP
    247 ATF1_UP
      1 ATF3
    151 ATF3_UP
      1 ATF5_UP
      6 ATM
     90 ATM_UP
      4 ATN1
      1 ATN1_UP
      9 ATP1A3_DOWN
      1 ATP1B1_DOWN
      1 ATP1B2
      2 ATP1B2_DOWN
      5 ATP2A2_DOWN
      1 ATP2B2_DOWN
      1 ATP2B4
     30 ATP2B4_DOWN
      1 ATP5B
      3 ATP5B_DOWN
      3 ATP5C1_DOWN
      3 ATP5F1_DOWN
      3 ATP5G3_DOWN
      3 ATP5J2_DOWN
      3 ATP6V1A_DOWN
      4 ATP6V1B2_DOWN
      1 ATP6V1E1
      3 ATP6V1E1_DOWN
      4 ATP6V1G2_DOWN
     25 ATP6V1H_DOWN
      1 ATP7A
      1 ATP8A1
     11 ATP8A2_DOWN
      1 ATP8B2
      3 ATP8B3
      6 ATP8B4
      6 ATR
     12 ATRX
      2 ATRX_DOWN
      1 ATXN1
      8 ATXN1_DOWN
    138 AURKA_UP
    228 AURKB_UP
      8 AVPR1A
      1 AVPR1B
      1 AVPR2
      1 AXIN1
      1 AXL_UP
      2 AZI1
      1 B2M
     32 BACE1_DOWN
      1 BACE2
     98 BACE2_UP
     14 BAG2_UP
      1 BAG4_UP
      1 BAI2_DOWN
      1 BAI3
      1 BAI3_DOWN
      1 BAMBI
     46 BAMBI_UP
      2 BARD1
    322 BARD1_UP
     26 BAX_UP
    136 BAZ1A_UP
      5 BAZ1B
     48 BAZ1B_UP
      2 BAZ2B_UP
      3 BCAN_UP
      3 BCAR1
      1 BCAR3_UP
      1 BCAT1
      2 BCAT1_UP
      2 BCHE_UP
      1 BCKDHB_UP
      1 BCL10
      1 BCL11A
      1 BCL11A_DOWN
      1 BCL2
     74 BCL2A1_UP
      7 BCL2L2_DOWN
      2 BCL6
      9 BCL6_UP
      2 BCL9
      4 BCLAF1
      3 BCOR
      6 BCOR_UP
      3 BCR
      2 BCR_DOWN
      2 BDKRB1
    474 BDNF_DOWN
     11 BGN_UP
     53 BHLHB3_DOWN
      1 BID
      4 BID_UP
      3 BIK_UP
    141 BIN1_DOWN
      1 BIN2_UP
      1 BIRC2
      1 BIRC3
     73 BIRC3_UP
    445 BIRC5_UP
      1 BIRC6
      1 BLK
      2 BLK_UP
      1 BLM
    229 BLM_UP
      3 BLNK
     50 BLNK_UP
      1 BMI1
      1 BMP1
      1 BMP15
      5 BMP1_UP
    109 BMP2_UP
      1 BMP4
     87 BMP4_UP
     13 BMP5_UP
      1 BMPR1A
     12 BMPR1A_UP
      1 BMPR1B
      1 BMPR1B_UP
      1 BMPR2
      1 BNC2_UP
      1 BNIP2_UP
      1 BNIPL
      1 BOK
      1 BPGM_UP
      6 BRAF
      4 BRCA1
     22 BRCA1_UP
      3 BRCA2
      6 BRCA2_UP
      2 BRD8
      1 BRF2
      1 BRSK1
      2 BSG
      1 BST1
      1 BST1_UP
      1 BTG1_UP
      2 BTG2
      1 BTG2_UP
      1 BTG3_UP
      1 BTK
     10 BTK_UP
    290 BTN3A3_UP
      5 BTRC
      1 BUB1
     73 BUB1B_UP
      7 BUB3
      1 BYSL
      1 BYSL_UP
      4 C1QA_DOWN
    322 C1QA_UP
      7 C1QB_DOWN
    305 C1QB_UP
      1 C1QC
      3 C1S
      7 C1S_DOWN
    294 C1S_UP
    188 C2_UP
      6 C3
      1 C3AR1_DOWN
     77 C3AR1_UP
      8 C3_DOWN
    182 C3_UP
      1 C4A
      1 C4B
     28 C4BPA_UP
      1 C4BPB
      1 C5
      3 C5AR1
    121 C5AR1_UP
     20 C5_UP
     72 C7_UP
      1 C8G_UP
      1 CA12_UP
      1 CA2_UP
      1 CA9
      4 CABIN1
     65 CABP1_DOWN
      1 CACNA1A
