GENE	FREQUENCY
1060P11.7	0
16-5-5	0
A1CF	0
A2M	20
AAAS	0
AAG12	0
AAK1	0
AARS	0
AASDHPPT	0
AATF	2
AATK	0
ABAT	0
ABCA1	7
ABCA2	0
ABCA4	0
ABCA7	0
ABCB1	1
ABCB11	0
ABCB4	0
ABCB9	0
ABCC1	0
ABCC2	0
ABCC3	4
ABCC6	0
ABCC8	0
ABCC9	0
ABCD1	0
ABCD2	0
ABCD3	0
ABCE1	0
ABCF1	0
ABCG5	0
ABCG8	0
ABHD5	0
ABI1	0
ABI2	0
ABL1	5
ABL2	0
ABLIM1	0
ABLIM2	0
ABLIM3	0
ABP1	0
ABR	1
ABT1	0
ACAA1	0
ACAA2	0
ACACA	0
ACACB	0
ACAD8	0
ACADL	0
ACADM	0
ACADS	0
ACADSB	0
ACAN	9
ACAP1	0
ACAP2	0
ACAT1	0
ACCN1	0
ACCN2	0
ACCN3	0
ACD	0
ACE	0
ACE2	0
ACHE	0
ACIN1	0
ACLY	0
ACO1	0
ACO2	0
ACOX1	0
ACOX2	1
ACOX3	0
ACP1	0
ACP5	0
ACR	0
ACRV1	0
ACSL1	1
ACSL3	0
ACSL4	0
ACSL5	0
ACSL6	0
ACSS1	0
ACSS2	0
ACT	0
ACTA1	0
ACTA2	66
ACTB	0
ACTBL2	0
ACTC1	3
ACTG1	0
ACTG2	27
ACTL6A	105
ACTL6B	90
ACTL7A	0
ACTL7B	0
ACTL7C	0
ACTN1	32
ACTN2	0
ACTN3	0
ACTN4	3
ACTR10	0
ACTR1A	0
ACTR1B	0
ACTR2	0
ACTR3	0
ACTR3B	1
ACTRT1	0
ACTRT2	0
ACVR1	1
ACVR1B	0
ACVR1C	0
ACVR2A	0
ACVR2B	0
ACVRL1	1
ACY1	0
ADA	0
ADAM10	11
ADAM12	2
ADAM15	2
ADAM17	7
ADAM19	0
ADAM2	0
ADAM21	0
ADAM23	0
ADAM33	0
ADAM8	0
ADAM9	19
ADAMTS1	2
ADAMTS10	0
ADAMTS12	0
ADAMTS13	0
ADAMTS14	0
ADAMTS16	0
ADAMTS17	0
ADAMTS18	0
ADAMTS19	0
ADAMTS2	0
ADAMTS4	0
ADAMTS5	2
ADAMTS6	0
ADAMTS7	0
ADAMTS8	0
ADAMTS9	0
ADAP1	0
ADAR	0
ADARB1	0
ADCY1	0
ADCY10	0
ADCY2	0
ADCY3	0
ADCY4	0
ADCY5	0
ADCY6	0
ADCY7	3
ADCY8	6
ADCY9	0
ADCYAP1	0
ADCYAP1R1	0
ADD1	0
ADD2	0
ADD3	0
ADFP	0
ADH1A	0
ADH1B	0
ADH1C	0
ADH4	0
ADH5	0
ADH6	0
ADH7	0
ADIPOQ	0
ADIPOR1	0
ADIPOR2	0
ADM	14
ADNP	0
ADORA1	0
ADORA2A	1
ADORA2B	1
ADORA3	10
ADRA1A	0
ADRA1B	0
ADRA1D	0
ADRA2A	1
ADRA2B	0
ADRA2C	0
ADRB1	0
ADRB2	0
ADRB3	0
ADRBK1	0
ADRBK2	0
ADRM1	0
AEBP1	10
AES	1
AFAP1L2	0
AFF4	0
AFG3L2	0
AFP	0
AGA	0
AGAP1	0
AGAP2	0
AGAP3	0
AGER	0
AGFG1	0
AGGF1	0
AGL	0
AGPS	0
AGRN	0
AGRP	0
AGT	35
AGTR1	1
AGTR2	1
AGXT	0
AHCTF1	2
AHNAK	3
AHR	12
AHRR	0
AHSA1	1
AHSG	1
AHSP	0
AICDA	0
AIFM1	4
AIFM2	0
AIP	0
AIRE	0
AK2	0
AK3	0
AK3L1	0
AKAP1	0
AKAP11	0
AKAP12	0
AKAP13	1
AKAP3	0
AKAP4	0
AKAP5	0
AKAP6	0
AKAP7	0
AKAP8	0
AKAP8L	0
AKAP9	0
AKR1A1	0
AKR1B1	0
AKR1B10	0
AKR1C1	0
AKR1C2	0
AKR1C3	0
AKR1CL2	0
AKR7A2	0
AKR7A3	0
AKT1	4
AKT1S1	0
AKT2	0
AKT3	1
ALAD	0
ALAS1	0
ALAS2	0
ALB	0
ALCAM	6
ALDH1A1	0
ALDH1A3	5
ALDH1L1	0
ALDH3A1	0
ALDH3A2	0
ALDH4A1	0
ALDH5A1	0
ALDOA	0
ALDOB	0
ALDOC	2
ALG1	0
ALG11	0
ALG2	0
ALK	0
ALKBH3	0
ALMS1	1
ALOX12B	1
ALOX15B	0
ALOX5	3
ALOX5AP	67
ALPI	0
ALPK3	0
ALPL	0
ALPP	0
ALS2	0
ALS2CR8	0
ALX1	0
ALX3	0
ALX4	0
AMBP	0
AMELX	0
AMELY	0
AMFR	0
AMH	0
AMHR2	0
AMICA1	0
AMIGO1	0
AMIGO2	0
AMIGO3	0
AMN	0
AMPH	251
ANAPC1	1
ANAPC10	6
ANAPC11	0
ANAPC2	1
ANAPC4	0
ANAPC5	0
ANAPC7	0
ANG	11
ANGPT1	21
ANGPT2	24
ANGPT4	0
ANGPTL1	0
ANGPTL3	0
ANGPTL4	1
ANK1	0
ANK2	53
ANK3	58
ANKRA2	0
ANKRD1	0
ANKRD11	0
ANKRD13D	0
ANKRD28	0
ANKRD6	0
ANKRD7	0
ANKZF1	0
ANLN	0
ANP32A	17
ANP32B	0
ANP32C	0
ANP32E	0
ANPEP	0
ANTXR1	0
ANTXR2	0
ANXA1	183
ANXA11	2
ANXA2	147
ANXA3	1
ANXA4	1
ANXA5	118
ANXA6	5
ANXA7	1
AOF2	0
AOX1	0
AP1B1	0
AP1G1	0
AP1G2	0
AP1GBP1	0
AP1M1	0
AP1M2	3
AP1S1	2
AP1S2	13
AP1S3	0
AP2A1	0
AP2A2	5
AP2B1	0
AP2M1	7
AP2S1	1
AP3B1	0
AP3B2	4
AP3D1	0
AP3M1	0
AP3S1	0
AP3S2	0
AP4B1	0
AP4E1	0
AP4M1	0
AP4S1	0
APAF1	0
APBA1	0
APBA2	45
APBA3	0
APBB1	0
APBB1IP	0
APBB2	6
APBB3	0
APC	19
APC2	0
APCS	0
APEX1	1
APEX2	0
APH1A	12
APH1B	0
API5	0
APITD1	0
APLF	0
APLN	0
APLNR	0
APLP1	17
APLP2	1
APOA1	1
APOA2	1
APOA4	0
APOA5	0
APOB	2
APOBEC1	0
APOBEC2	0
APOBEC3G	10
APOC1	4
APOC2	21
APOC3	1
APOD	1
APOE	5
APOF	0
APOH	0
APOL1	0
APP	1
APPBP2	0
APPL1	0
APPL2	0
APRT	0
APTX	0
AQP1	72
AQP2	0
AQP3	0
AQP4	10
AQP5	0
AQP6	0
AQP7	0
AQR	0
AR	8
ARAF	4
ARAP1	0
ARAP2	0
ARAP3	0
ARCN1	0
ARD1A	0
AREG	9
ARF1	1
ARF3	5
ARF4	1
ARF5	0
ARF6	1
ARFGAP1	0
ARFGAP2	0
ARFGAP3	6
ARFGEF1	0
ARFGEF2	0
ARFIP1	0
ARFIP2	0
ARFRP1	0
ARG1	0
ARG2	0
ARHA	0
ARHE	0
ARHGAP1	0
ARHGAP10	0
ARHGAP11A	0
ARHGAP11B	0
ARHGAP12	0
ARHGAP15	2
ARHGAP17	0
ARHGAP18	0
ARHGAP19	0
ARHGAP20	0
ARHGAP22	0
ARHGAP24	0
ARHGAP25	0
ARHGAP26	0
ARHGAP28	0
ARHGAP29	0
ARHGAP30	0
ARHGAP4	0
ARHGAP5	1
ARHGAP6	0
ARHGAP8	0
ARHGAP9	0
ARHGDIA	0
ARHGDIB	55
ARHGDIG	12
ARHGEF1	0
ARHGEF11	0
ARHGEF12	0
ARHGEF15	0
ARHGEF16	0
ARHGEF17	0
ARHGEF18	0
ARHGEF2	0
ARHGEF3	1
ARHGEF4	0
ARHGEF5	0
ARHGEF6	10
ARHGEF7	1
ARHGEF9	1
ARID1A	0
ARID1B	0
ARID2	0
ARID3A	1
ARID3B	0
ARID3C	0
ARID4A	0
ARID4B	0
ARIH1	0
ARIH2	0
ARL1	0
ARL15	0
ARL17	0
ARL2	0
ARL3	0
ARL4A	0
ARL4D	0
ARL5A	0
ARL5B	0
ARL6IP5	0
ARL8B	0
ARMC6	0
ARMS	0
ARNT	0
ARNT2	8
ARNTL	1
ARNTL2	2
ARP11	0
ARPC1A	0
ARPC1B	4
ARPC2	0
ARPC3	0
ARPC4	0
ARPC5	0
ARPC5L	0
ARPM1	0
ARR3	0
ARRB1	1
ARRB2	0
ARSA	0
ARSB	0
ARSF	0
ARTN	0
ARVCF	0
ASAH1	0
ASAP1	0
ASAP2	0
ASB13	0
ASB16	0
ASB2	0
ASB6	0
ASB8	0
ASCC1	0
ASCC2	0
ASCC3	0
ASCL1	4
ASCL2	0
ASCL3	0
ASCL4	0
ASF1A	0
ASF1B	2
ASGR1	0
ASGR2	0
ASH1L	0
ASH2L	0
ASIP	0
ASNS	1
ASPH	0
ASPM	26
ASPSCR1	0
ATAD2	0
ATE1	0
ATF1	34
ATF2	0
ATF3	49
ATF4	0
ATF5	1
ATF6	0
ATF6B	0
ATF7	0
ATF7IP	0
ATG10	0
ATG12	0
ATG16L1	0
ATG16L2	0
ATG3	0
ATG4A	0
ATG4B	0
ATG5	0
ATG7	0
ATIC	0
ATM	25
ATN1	1
ATOH1	0
ATOX1	0
ATP12A	0
ATP13A1	0
ATP13A3	0
ATP1A1	0
ATP1A3	4
ATP1B1	1
ATP1B2	1
ATP1B3	0
ATP2A1	0
ATP2A2	3
ATP2A3	0
ATP2B2	1
ATP2B4	2
ATP2C1	0
ATP2C2	0
ATP4A	0
ATP5A1	0
ATP5B	1
ATP5C1	1
ATP5D	0
ATP5E	0
ATP5F1	1
ATP5G1	0
ATP5G2	0
ATP5G3	1
ATP5H	0
ATP5I	0
ATP5J	0
ATP5J2	1
ATP5L	0
ATP5O	0
ATP6AP1	0
ATP6AP2	0
ATP6V0B	0
ATP6V0C	0
ATP6V0D1	0
ATP6V0E1	0
ATP6V1A	1
ATP6V1B1	0
ATP6V1B2	2
ATP6V1D	0
ATP6V1E1	1
ATP6V1E2	0
ATP6V1G1	0
ATP6V1G2	2
ATP6V1H	6
ATP7A	0
ATP7B	0
ATP8A1	0
ATP8A2	11
ATP8B1	0
ATP8B2	0
ATP8B3	0
ATP8B4	0
ATR	0
ATRIP	0
ATRX	1
ATXN1	3
ATXN2	0
ATXN3	0
ATXN7	0
AUP1	0
AURKA	14
AURKAIP1	0
AURKB	22
AURKC	0
AVEN	0
AVP	0
AVPR1A	0
AVPR1B	0
AVPR2	0
AXIN1	0
AXIN2	0
AXL	1
AXUD1	0
AZGP1	0
AZI1	0
AZIN1	0
AZU1	0
B2M	0
B3GAT3	0
B4GALT1	0
B4GALT5	0
B9D2	0
BACE1	7
BACE2	17
BACH1	0
BACH2	0
BAD	0
BAG1	0
BAG2	2
BAG3	0
BAG4	1
BAG5	0
BAI1	0
BAI2	1
BAI3	0
BAIAP2	0
BAK	0
BAK1	0
BAMBI	6
BANF1	0
BANP	0
BARD1	75
BARX2	0
BAT1	0
BAT2	0
BAT3	0
BAT4	0
BATF	0
BATF3	0
BAX	6
BAZ1A	24
BAZ1B	9
BAZ2A	0
BAZ2B	2
BBC3	0
BBS4	0
BBS7	0
BCAM	0
BCAN	3
BCAP29	0
BCAP31	0
BCAR1	0
BCAR3	1
BCAS2	0
BCAT1	1
BCAT2	0
BCCIP	0
BCHE	2
BCKDHA	0
BCKDHB	1
BCKDK	0
BCL10	0
BCL11A	1
BCL11B	0
BCL2	0
BCL2A1	21
BCL2L1	0
BCL2L10	0
BCL2L11	0
BCL2L14	0
BCL2L2	3
BCL2L7P1	0
BCL3	0
BCL6	4
BCL6B	0
BCL7A	0
BCL9	0
BCLAF1	0
BCOR	1
BCR	2
BDKRB1	0
BDKRB2	0
BDNF	149
BDP1	0
BECN1	0
BET1	0
BET1L	0
BEX1	0
BFAR	0
BGN	3
BHLHB2	0
BHLHB3	4
BHLHB8	0
BICD1	0
BICD2	0
BID	2
BIK	1
BIN1	23
BIN2	1
BIN3	0
BIRC2	0
BIRC3	22
BIRC5	120
BIRC6	0
BIRC7	0
BIRC8	0
BLK	1
BLM	59
BLNK	23
BLOC1S1	0
BLOC1S2	0
BLOC1S3	0
BLVRB	0
BLZF1	0
BMF	0
BMI1	0
BMP1	1
BMP10	0
BMP15	0
BMP2	25
BMP2K	0
BMP3	0
BMP4	5
BMP5	2
BMP6	0
BMP7	0
BMP8A	0
BMP8B	0
BMPR1A	3
BMPR1B	1
BMPR2	0
BMX	0
BNC1	0
BNC2	1
BNIP1	0
BNIP2	1
BNIP3	0
BNIP3L	0
BNIPL	0
BOC	0
BOK	0
BOLL	0
BOP1	0
BORA	0
BPGAP1	0
BPGM	1
BPI	0
BPNT1	0
BPTF	0
BPY2	0
BRAF	0
BRAP	0
BRCA1	5
BRCA2	2
BRCC3	0
BRD8	0
BRE	0
BRF1	0
BRF2	0
BRIP1	0
BRMS1	0
BRS3	0
BRSK1	0
BRSK2	0
BRUNOL5	0
BRUNOL6	0
BRWD1	0
BSG	0
BSPRY	0
BST1	1
BTAF1	0
BTBD1	0
BTC	0
BTF3	0
BTG1	1
BTG2	0
BTG3	1
BTK	2
BTLA	0
BTN3A3	60
BTRC	0
BUB1	0
BUB1B	49
BUB3	0
BXDC1	0
BXDC2	0
BYSL	0
BZW1	0
C-BAS/HAS	0
C-FGR	0
C11ORF48	0
C19ORF29	0
C1GALT1	0
C1QA	85
C1QB	80
C1QBP	0
C1QC	0
C1QTNF5	0
C1R	0
C1S	84
C2	38
C20ORF191	0
C20ORF95	0
C21ORF33	0
C3	55
C3AR1	19
C3ORF10	0
C4A	0
C4B	0
C4BPA	4
C4BPB	0
C4ORF43	0
C5	2
C5AR1	34
C6	0
C7	12
C8A	0
C8B	0
C8G	1
C9	0
CA1	0
CA12	1
CA2	1
CA3	0
CA9	0
CAB39	0
CAB39L	0
CABIN1	0
CABLES1	0
CABLES2	0
CABP1	27
CABP2	0
CABP5	0
CACNA1A	0
CACNA1B	0
CACNA1C	0
CACNA1D	0
CACNA1E	0
CACNA1F	0
CACNA1G	0
CACNA1H	0
CACNA1I	0
CACNA1S	0
CACNA2D1	0
CACNA2D2	1
CACNA2D3	10
CACNA2D4	0
CACNB1	0
CACNB2	6
CACNB3	4
CACNB4	6
CACNG1	0
CACNG2	0
CACNG3	10
CACNG4	0
CACNG5	0
CACNG6	0
CACNG7	0
CACNG8	0
CACYBP	0
CAD	0
CALB1	18
CALB2	2
CALCA	0
CALCOCO1	0
CALCR	0
CALD1	83
CALM1	20
CALML3	2
CALML5	3
CALML6	0
CALR	0
CALR3	0
CAMK1	0
CAMK1D	0
CAMK2A	14
CAMK2B	198
CAMK2D	0
CAMK2G	105
CAMK4	0
