GENE	FREQUENCY
CAMKK1	0
CAMKK2	0
CAMLG	0
CAMP	0
CAND1	0
CAND2	0
CANX	1
CAP1	0
CAP2	3
CAPG	0
CAPN1	0
CAPN10	0
CAPN12	0
CAPN13	0
CAPN2	1
CAPN3	0
CAPN5	0
CAPN6	0
CAPN7	0
CAPN9	0
CAPNS1	1
CAPNS2	0
CAPRIN1	0
CAPZA1	0
CAPZA2	0
CAPZA3	0
CAPZB	1
CARD10	0
CARD11	0
CARD14	0
CARD18	0
CARD6	0
CARD8	9
CARD9	0
CARHSP1	0
CARM1	0
CASC3	0
CASC5	0
CASK	12
CASKIN1	0
CASP1	122
CASP10	0
CASP12	0
CASP14	0
CASP2	1
CASP3	86
CASP4	80
CASP5	0
CASP6	25
CASP7	37
CASP8	9
CASP8AP2	0
CASP9	2
CASR	0
CAST	9
CAT	0
CATSPER1	0
CATSPER2	0
CAV1	196
CAV2	8
CAV3	0
CBFA2T2	0
CBFA2T3	0
CBFB	0
CBL	0
CBLB	0
CBLC	1
CBLN1	0
CBLN2	0
CBLN3	0
CBLN4	0
CBR1	0
CBR3	0
CBS	0
CBX1	0
CBX2	0
CBX3	29
CBX4	0
CBX5	0
CBX7	0
CBX8	0
CCAR1	0
CCBP2	0
CCDC101	0
CCDC45	0
CCDC5	0
CCDC59	0
CCDC6	0
CCDC99	8
CCHCR1	0
CCK	8
CCKAR	0
CCKBR	9
CCL1	0
CCL11	5
CCL13	1
CCL14	0
CCL15	0
CCL16	0
CCL17	0
CCL18	20
CCL19	2
CCL2	21
CCL20	19
CCL21	1
CCL22	0
CCL23	0
CCL24	0
CCL25	0
CCL26	0
CCL27	0
CCL28	0
CCL3	0
CCL3L1	0
CCL4	0
CCL5	25
CCL7	2
CCL8	0
CCM2	0
CCNA1	87
CCNA2	106
CCNB1	196
CCNB2	176
CCNB3	0
CCNC	0
CCND1	77
CCND2	21
CCND3	1
CCNE1	4
CCNE2	36
CCNF	0
CCNG1	3
CCNG2	0
CCNH	1
CCNK	0
CCNL1	0
CCNL2	3
CCNO	0
CCNT1	0
CCNT2	0
CCR1	35
CCR10	0
CCR2	0
CCR3	0
CCR4	0
CCR5	9
CCR6	1
CCR7	2
CCR8	0
CCR9	0
CCRK	0
CCRL1	2
CCRN4L	0
CCS	0
CCT1	0
CCT2	1
CCT3	0
CCT4	0
CCT5	1
CCT6A	5
CCT6B	0
CCT7	0
CCT8	0
CCT8L1	0
CCT8L2	0
CD14	56
CD151	6
CD160	0
CD163	1
CD164	0
CD177	0
CD180	2
CD19	1
CD1A	0
CD1B	0
CD1C	2
CD1D	2
CD1E	0
CD2	12
CD200	0
CD200R1	0
CD209	0
CD21	0
CD22	0
CD226	0
CD24	0
CD244	0
CD247	2
CD27	1
CD274	0
CD28	0
CD2AP	14
CD2BP2	0
CD300A	1
CD300LF	0
CD33	0
CD34	3
CD36	18
CD37	33
CD38	19
CD3D	15
CD3E	0
CD3EAP	0
CD3G	1
CD4	18
CD40	1
CD40LG	0
CD44	247
CD46	4
CD47	2
CD48	35
CD5	0
CD52	14
CD53	59
CD55	7
CD58	8
CD59	0
CD6	0
CD63	0
CD68	0
CD69	20
CD7	0
CD70	1
CD72	0
CD74	86
CD79A	2
CD79B	1
CD80	0
CD81	0
CD82	1
CD83	0
CD84	0
CD86	21
CD8A	0
CD8B	1
CD9	33
CD93	3
CD96	0
CD97	8
CD99	0
CDC14A	0
CDC14C	0
CDC16	0
CDC2	141
CDC20	177
CDC23	11
CDC25A	0
CDC25B	10
CDC25C	0
CDC26	0
CDC27	0
CDC2L1	0
CDC2L2	0
CDC2L5	0
CDC34	0
CDC37	0
CDC40	0
CDC42	0
CDC42BPA	0
CDC42BPB	0
CDC42BPG	0
CDC42EP1	0
CDC42EP2	0
CDC42EP3	0
CDC42EP4	0
CDC42EP5	0
CDC42SE1	0
CDC45L	30
CDC5L	0
CDC6	22
CDC7	53
CDC73	1
CDCA3	32
CDCA8	9
CDGAP	0
CDH1	7
CDH10	55
CDH11	40
CDH12	0
CDH13	0
CDH15	0
CDH16	0
CDH17	2
CDH18	165
CDH19	9
CDH2	14
CDH20	0
CDH22	0
CDH23	0
CDH24	0
CDH26	0
CDH3	12
CDH4	4
CDH5	17
CDH6	0
CDH7	0
CDH8	0
CDH9	0
CDIPT	2
CDK10	0
CDK2	24
CDK2AP1	0
CDK2DELTAT	0
CDK3	0
CDK4	223
CDK5	17
CDK5R1	57
CDK5R2	61
CDK5RAP1	0
CDK5RAP2	4
CDK5RAP3	0
CDK6	0
CDK7	3
CDK8	0
CDK9	0
CDKL1	0
CDKL2	0
CDKN1A	29
CDKN1B	1
CDKN1C	0
CDKN2A	44
CDKN2B	0
CDKN2C	177
CDKN2D	0
CDKN3	6
CDON	0
CDS1	0
CDS2	0
CDSN	0
CDT1	2
CDV3	0
CDX1	0
CDX2	0
CDX4	0
CDYL	0
CEACAM1	2
CEACAM3	0
CEACAM5	2
CEACAM6	2
CEACAM8	0
CEBPA	19
CEBPB	14
CEBPD	0
CEBPE	0
CEBPG	1
CEBPZ	1
CECR1	19
CEL	0
CELSR1	0
CELSR2	20
CELSR3	0
CENPA	23
CENPB	0
CENPC1	0
CENPE	20
CENPF	26
CENPH	0
CENPI	0
CENPJ	0
CENPK	0
CENPL	0
CENPM	7
CENPN	6
CENPO	0
CENPP	0
CENPQ	4
CENPT	0
CEP110	0
CEP135	4
CEP152	2
CEP164	0
CEP170	1
CEP192	2
CEP250	0
CEP27	0
CEP290	1
CEP55	0
CEP57	1
CEP63	0
CEP70	0
CEP72	0
CEP76	2
CEP78	0
CER1	0
CES1	0
CETN2	0
CETN3	1
CETP	0
CFB	0
CFD	11
CFDP1	0
CFH	11
CFHR1	0
CFHR3	0
CFHR4	0
CFHR5	0
CFI	57
CFL1	0
CFL2	0
CFLAR	4
CFP	0
CFTR	1
CGA	0
CGB	0
CGGBP1	0
CGN	0
CGNL1	0
CHAD	0
CHAF1A	1
CHAF1B	0
CHD1	12
CHD1L	0
CHD2	0
CHD3	0
CHD4	0
CHD5	12
CHD6	0
CHD7	7
CHD8	0
CHD9	1
CHDH	0
CHEK1	49
CHEK2	13
CHGA	16
CHI3L1	0
CHI3L2	3
CHIA	0
CHIT1	0
CHKA	0
CHKB	0
CHL1	41
CHM	0
CHML	0
CHMP1A	0
CHMP1B	0
CHMP2A	0
CHMP2B	0
CHMP4A	0
CHMP4B	0
CHMP4C	0
CHMP5	0
CHMP6	0
CHN1	45
CHN2	0
CHP	0
CHP2	0
CHRAC1	0
CHRD	0
CHRDL1	0
CHRDL2	0
CHRM1	0
CHRM2	0
CHRM3	0
CHRM4	0
CHRM5	0
CHRNA1	1
CHRNA2	0
CHRNA3	0
CHRNA4	0
CHRNA5	0
CHRNA6	0
CHRNA7	0
CHRNB1	0
CHRNB2	0
CHRNB3	0
CHRNB4	0
CHRND	0
CHRNE	0
CHRNG	0
CHST4	0
CHUK	2
CIAO1	0
CIB1	6
CIB2	0
CIC	0
CIDEA	0
CIDEB	0
CIITA	0
CIR	0
CIRBP	0
CISH	1
CIT	53
CITED1	2
CITED2	4
CITED4	0
CKAP5	0
CKB	0
CKM	0
CKMT2	0
CKS1B	83
CKS2	121
CLASP1	0
CLASP2	11
CLCA1	0
CLCA2	0
CLCA4	0
CLCF1	0
CLCN1	0
CLCN2	0
CLCN3	0
CLCN4	0
CLCN5	1
CLDN1	5
CLDN10	6
CLDN11	0
CLDN14	0
CLDN15	0
CLDN16	0
CLDN17	0
CLDN18	0
CLDN19	0
CLDN2	0
CLDN20	0
CLDN22	0
CLDN23	0
CLDN3	1
CLDN4	1
CLDN5	3
CLDN6	0
CLDN7	8
CLDN8	0
CLDN9	0
CLEC10A	3
CLEC11A	0
CLEC3B	0
CLEC4G	0
CLEC4M	0
CLEC5A	20
CLIC1	9
CLIC2	0
CLIC5	0
CLINT1	0
CLIP1	0
CLK1	46
CLK2	0
CLK3	0
CLK4	0
CLNS1A	0
CLOCK	1
CLP1	0
CLPP	0
CLPS	0
CLPX	0
CLSPN	0
CLSTN1	0
CLSTN2	2
CLSTN3	0
CLTA	0
CLTB	2
CLTC	0
CLTCL1	0
CLU	13
CMA1	0
CMTM2	0
CMTM3	0
CNBP	0
CNDP1	0
CNDP2	0
CNGA1	0
CNGA2	0
CNGA3	8
CNGA4	0
CNGB1	0
CNGB3	0
CNKSR1	0
CNKSR2	110
CNN1	0
CNN3	7
CNO	0
CNOT1	0
CNOT2	2
CNOT3	0
CNOT4	0
CNOT6	0
CNOT6L	0
CNOT7	0
CNOT8	0
CNR1	0
CNR2	0
CNTF	0
CNTFR	0
CNTN1	77
CNTN2	1
CNTN3	0
CNTN4	0
CNTN5	0
CNTN6	0
CNTNAP1	24
CNTNAP2	2
CNTNAP3	0
CNTNAP3B	0
CNTNAP4	0
CNTNAP5	0
COBRA1	0
COG1	0
COG2	0
COG3	0
COG4	0
COG5	0
COG6	0
COG7	0
COG8	0
COIL	0
COL10A1	0
COL11A1	60
COL11A2	0
COL12A1	0
COL13A1	1
COL14A1	0
COL15A1	15
COL16A1	3
COL17A1	2
COL18A1	20
COL19A1	0
COL1A1	50
COL1A2	164
COL20A1	0
COL22A1	0
COL27A1	0
COL29A1	0
COL2A1	4
COL3A1	228
COL4A1	273
COL4A2	229
COL4A3	0
COL4A3BP	0
COL4A4	2
COL4A5	22
COL4A6	0
COL5A1	70
COL5A2	203
COL5A3	4
COL6A1	0
COL6A2	63
COL6A3	120
COL6A6	0
COL7A1	0
COL8A1	0
COL8A2	1
COL9A1	3
COL9A2	3
COL9A3	22
COLQ	0
COMMD8	0
COMP	3
COPA	0
COPB1	0
COPB2	0
COPE	0
COPG	0
COPG2	0
COPS2	1
COPS3	1
COPS4	0
COPS5	0
COPS6	0
COPS8	1
COPZ1	0
COPZ2	1
COQ7	0
CORO1A	8
CORO1C	0
CORO2A	2
CORO2B	0
CORO7	0
CORT	0
COTL1	2
COX4I1	0
COX4I2	0
COX5A	0
COX5B	0
COX6A1	1
COX6A2	0
COX6B1	0
COX6C	0
COX7A1	0
COX7A2L	1
COX7B	1
COX7C	0
COX8A	1
CP	28
CPA1	0
CPA2	0
CPA3	2
CPA4	0
CPA5	0
CPA6	0
CPB1	0
CPB2	3
CPD	1
CPE	15
CPEB1	0
CPLX1	0
CPLX2	0
CPM	0
CPNE1	0
CPNE4	0
CPO	0
CPOX	0
CPS1	1
CPSF1	0
CPSF2	0
CPSF3	0
CPSF4	0
CPSF6	0
CPSF7	0
CPT1A	0
CPT1B	0
CPT1C	0
CPT2	0
CPXM2	0
CR1	0
CR2	2
CRABP1	0
CRABP2	0
CRADD	0
CRB3	0
CRCP	0
CREB1	0
CREB3	0
CREB3L1	0
CREB3L2	20
CREB3L3	0
CREB3L4	0
CREB5	0
CREBBP	0
CREBBP VARIANT PROTEIN	0
CREBZF	0
CREM	0
CRH	0
CRHBP	0
CRHR1	0
CRHR2	0
CRIM1	0
CRIP1	1
CRIP2	0
CRIPAK	0
CRK	0
CRKL	0
CRLF1	0
CRLF3	1
CRMP1	6
CRNKL1	0
CROP	0
CRP	0
CRTAM	0
CRX	0
CRY1	14
CRY2	0
CRYAA	0
CRYAB	0
CRYBB2	0
CRYGC	0
CRYZ	0
CS	0
CSDA	0
CSDE1	0
CSE1L	0
CSE1L-2	0
CSF1	0
CSF1R	4
CSF2	0
CSF2RA	0
CSF2RB	27
CSF3	0
CSF3R	0
CSH1	0
CSK	2
CSN2	0
CSNK1A1	0
CSNK1A1L	0
CSNK1D	2
CSNK1E	0
CSNK1G1	0
CSNK1G2	0
CSNK1G3	0
CSNK2A1	0
CSNK2A2	0
CSNK2B	1
CSPG4	6
CSRNP2	0
CSRNP3	0
CSRP1	0
CSRP2	1
CSRP2BP	0
CSRP3	0
CST3	9
CST5	0
CST7	1
CSTA	42
CSTB	2
CSTF1	1
CSTF2	0
CSTF2T	0
CSTF3	0
CTBP1	5
CTBP2	0
CTCF	0
CTCFL	0
CTDP1	0
CTDSP1	0
CTDSP2	0
CTDSPL	0
CTF1	0
CTGF	24
CTLA4	0
CTNNA1	0
CTNNA2	55
CTNNA3	0
CTNNAL1	34
CTNNB1	0
CTNNBIP1	0
CTNND1	9
CTNND2	16
CTPS	1
CTPS2	0
CTRB1	0
CTRC	0
CTSB	6
CTSC	20
CTSD	7
CTSF	2
CTSG	0
CTSH	3
CTSK	28
CTSL1	19
CTSL2	2
CTSLL6	0
CTSS	94
CTSZ	0
CTTN	1
CTTNBP2	0
CUBN	2
CUGBP1	1
CUGBP2	6
CUL1	0
CUL2	0
CUL3	0
CUL4A	6
CUL4B	2
CUL5	0
CUL7	0
CUX1	0
CX3CL1	4
CX3CR1	4
CXADR	0
CXCL1	1
CXCL10	22
CXCL11	10
CXCL12	13
CXCL13	2
CXCL16	0
CXCL2	1
CXCL3	1
CXCL5	0
CXCL6	1
CXCL9	16
CXCR3	0
CXCR4	164
CXCR5	0
CXCR6	0
CXCR7	22
CXXC1	0
CXXC4	0
CYB5A	2
CYB5R3	0
CYBA	67
CYBB	51
CYC1	1
CYCS	1
CYFIP1	0
