ARHGAP5_UP	49	1	0.00	1	0.00	1.00	N	0.82600
ARHGDIB_UP	57	57	0.17	52	0.16	0.91	N	0.12800
ARHGEF6_UP	63	6	0.02	3	0.01	0.50	N	0.89200
ARHGEF7_UP	61	4	0.01	2	0.01	0.50	N	0.45400
ARID3A_UP	9	1	0.00	1	0.00	1.00	N	0.01400
ARNTL2_UP	12	10	0.03	2	0.01	0.20	N	0.27200
ARPC1B_UP	23	81	0.25	4	0.01	0.05	N	0.99800
ARRB1_UP	182	1	0.00	1	0.00	1.00	N	0.96800
ASCL1_UP	8	28	0.09	5	0.02	0.18	N	0.88600
ASF1B_UP	9	20	0.06	2	0.01	0.10	N	1.00000
ASPM_UP	3	194	0.59	28	0.09	0.14	Y	0.00000
ATF1_UP	77	36	0.11	34	0.10	0.94	N	0.06400
ATF3_UP	20	82	0.25	49	0.15	0.60	Y	0.00000
ATF5_UP	5	1	0.00	1	0.00	1.00	N	0.49200
ATM_UP	50	31	0.09	26	0.08	0.84	N	0.00200
ATN1_UP	13	2	0.01	1	0.00	0.50	N	0.15000
AURKA_UP	105	16	0.05	14	0.04	0.88	N	0.37200
AURKB_UP	164	25	0.08	22	0.07	0.88	N	0.93800
AXL_UP	17	2	0.01	1	0.00	0.50	N	0.17000
BACE2_UP	18	76	0.23	17	0.05	0.22	N	0.93400
BAG2_UP	3	23	0.07	2	0.01	0.09	N	0.48200
BAG4_UP	24	1	0.00	1	0.00	1.00	N	0.70400
BAMBI_UP	62	19	0.06	6	0.02	0.32	N	0.85000
BARD1_UP	46	108	0.33	75	0.23	0.69	Y	0.00000
BAX_UP	32	9	0.03	7	0.02	0.78	N	0.47400
BAZ1A_UP	4	120	0.37	24	0.07	0.20	N	0.85800
BAZ1B_UP	29	15	0.05	9	0.03	0.60	N	0.95400
BAZ2B_UP	4	71	0.22	2	0.01	0.03	N	0.74800
BCAN_UP	2	49	0.15	3	0.01	0.06	N	0.01600
BCAR3_UP	4	8	0.02	1	0.00	0.12	N	0.45000
BCAT1_UP	2	65	0.20	2	0.01	0.03	N	0.28000
BCHE_UP	4	232	0.71	2	0.01	0.01	N	0.98400
BCKDHB_UP	3	2	0.01	1	0.00	0.50	N	0.16200
BCL2A1_UP	10	112	0.34	21	0.06	0.19	N	0.60000
BCL6_UP	33	15	0.05	4	0.01	0.27	N	0.31600
BCOR_UP	6	8	0.02	1	0.00	0.12	N	1.00000
BGN_UP	6	17	0.05	3	0.01	0.18	N	0.96200
BID_UP	35	7	0.02	2	0.01	0.29	N	0.84400
BIK_UP	6	17	0.05	1	0.00	0.06	N	0.71800
BIN2_UP	13	2	0.01	1	0.00	0.50	N	0.91600
BIRC3_UP	52	31	0.09	22	0.07	0.71	N	0.09000
BIRC5_UP	105	161	0.49	120	0.37	0.75	N	0.00200
BLK_UP	56	1	0.00	1	0.00	1.00	N	0.45200
BLM_UP	37	95	0.29	61	0.19	0.64	Y	0.00000
BLNK_UP	48	74	0.23	30	0.09	0.41	N	0.38200
BMP1_UP	29	1	0.00	1	0.00	1.00	N	0.97400
BMP2_UP	61	41	0.12	25	0.08	0.61	N	0.03400
BMP4_UP	59	6	0.02	5	0.02	0.83	N	0.63200
BMP5_UP	26	9	0.03	2	0.01	0.22	N	0.99200
BMPR1A_UP	73	6	0.02	3	0.01	0.50	N	0.69000
BMPR1B_UP	75	1	0.00	1	0.00	1.00	N	0.43400
BNC2_UP	1	12	0.04	1	0.00	0.08	N	0.07800
BNIP2_UP	4	39	0.12	1	0.00	0.03	N	0.61400
BPGM_UP	2	7	0.02	1	0.00	0.14	N	0.20600
BRCA1_UP	126	5	0.02	5	0.02	1.00	N	0.80000
BRCA2_UP	29	2	0.01	2	0.01	1.00	N	0.83600
BST1_UP	3	1	0.00	1	0.00	1.00	N	0.83200
BTG1_UP	7	85	0.26	1	0.00	0.01	N	0.96800
BTG2_UP	11	9	0.03	1	0.00	0.11	N	0.39200
BTG3_UP	1	91	0.28	1	0.00	0.01	N	0.53800
BTK_UP	95	3	0.01	2	0.01	0.67	N	0.93800
BTN3A3_UP	4	96	0.29	60	0.18	0.62	N	0.06600
BUB1B_UP	137	161	0.49	49	0.15	0.30	N	1.00000
BYSL_UP	3	1	0.00	1	0.00	1.00	N	0.05600
C1QA_UP	44	208	0.63	84	0.26	0.40	N	0.99800
C1QB_UP	42	195	0.59	77	0.23	0.39	N	0.99800
C1S_UP	44	162	0.49	82	0.25	0.51	N	0.87600
C2_UP	55	52	0.16	38	0.12	0.73	N	0.50600
C3_UP	36	88	0.27	51	0.16	0.58	N	0.67000
C3AR1_UP	6	30	0.09	18	0.05	0.60	N	0.85400
C4BPA_UP	5	14	0.04	4	0.01	0.29	N	0.25000
C5_UP	39	4	0.01	2	0.01	0.50	N	0.80400
C5AR1_UP	43	101	0.31	34	0.10	0.34	N	0.86600
C7_UP	12	20	0.06	12	0.04	0.60	N	0.65400
C8G_UP	7	1	0.00	1	0.00	1.00	N	0.42200
CA12_UP	2	163	0.50	1	0.00	0.01	N	0.94400
CA2_UP	3	26	0.08	1	0.00	0.04	N	0.45000
