GENE	TYPE	SAMPLE_IMPACT	DB_IMPACT	DB_DRIVER_FREQUENCY	DB_DRIVER_SNV_FREQUENCY	DB_DRIVER_DELTION_FREQUENCY	DBDRIVER_AMPLIFICATION_FREQUENCY	DB_MUTATION_FREQUENCY	DB_SNV_FREQUENCY	DB_DELTION_FREQUENCY	DB_AMPLIFICATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER	
CDKN2A	DEL	411.922	109.473	0.448	0.015	0.433	0.000	0.470	0.015	0.454	0.000	Y	NA
CDKN2B	DEL	411.922	95.313	0.381	0.003	0.378	0.000	0.448	0.003	0.445	0.000	N	NA
NF1	MUT	411.922	20.651	0.055	0.055	0.000	0.000	0.095	0.095	0.000	0.000	Y	NA
PTEN	MUT	411.922	82.314	0.290	0.265	0.024	0.000	0.314	0.290	0.024	0.000	Y	NA
TP53	MUT	411.922	93.401	0.284	0.280	0.003	0.000	0.284	0.280	0.003	0.000	Y	NA
