GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
CDKN2A	DEL	207.841	80.355	0.412	0.470	Y	NA
CEP135	AMPL	207.841	1.123	0.012	0.027	N	NA
NTRK1	MUT	207.841	0.634	0.003	0.006	Y	NA
PTEN	MUT	207.841	48.749	0.238	0.314	Y	NA
KLHL9	DEL	13.449	0.666	0.058	0.229	N	NA
FGFR2	AMPL	11.082	1.826	0.009	0.027	Y	NA
KIT	AMPL	11.082	8.798	0.046	0.076	Y	NA
PCDH11Y	DEL	10.978	1.589	0.186	0.198	N	NA
ITGB2	MUT	5.913	0.873	0.009	0.012	N	NA
FZD4	AMPL	3.471	0.011	0.003	0.003	N	NA
