L	D	F	JS Divergence
16	60	2.0	0.19420
16	60	2.5	0.04419
16	65	2.0	0.11097
16	65	2.5	0.06831
16	70	2.0	0.07505
16	70	2.5	0.05183
18	60	2.0	0.13786
18	60	2.5	0.05306
18	65	2.0	0.07376
18	65	2.5	0.05079
18	70	2.0	0.08021
18	70	2.5	0.05443
20	60	2.0	0.14705
20	60	2.5	0.06576
20	65	2.0	0.10630
20	65	2.5	0.04930
20	70	2.0	0.05836
20	70	2.5	0.04455
