GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
CEBPB	MUT	327.843	1.000	0.003	0.003	NA	NA
DRD5	MUT	327.843	9.421	0.027	0.027	NA	NA
EGFR	MUT	327.843	155.506	0.393	0.393	NA	NA
PIK3R1	MUT	327.843	39.522	0.091	0.091	NA	NA
PRKCG	MUT	327.843	1.568	0.006	0.006	NA	NA
RUVBL2	MUT	327.843	1.008	0.006	0.006	NA	NA
PTEN	MUT	327.843	98.845	0.290	0.314	NA	NA
TSC2	MUT	327.843	5.900	0.012	0.012	NA	NA
PIK3C2B	AMPL	327.843	20.763	0.052	0.055	NA	NA
BCLAF1	MUT	11.719	2.883	0.006	0.015	NA	NA
RYR3	MUT	2.999	2.208	0.040	0.052	NA	NA
