GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
HLA-DRB1	AMPL	415.139	62.907	0.189	0.189	NA	NA
KIT	MUT	415.139	22.912	0.073	0.076	NA	NA
LAMA3	MUT	415.139	4.201	0.012	0.012	NA	NA
PIK3R1	MUT	415.139	39.317	0.091	0.091	NA	NA
RB1	MUT	415.139	30.267	0.067	0.070	NA	NA
TP53	MUT	415.139	117.197	0.284	0.284	NA	NA
PTEN	MUT	415.139	98.041	0.290	0.314	NA	NA
TBL1Y	DEL	415.139	29.000	0.067	0.195	NA	NA
PCDH11Y	DEL	16.482	2.107	0.186	0.198	NA	NA
GNA15	MUT	2.719	0.008	0.003	0.003	NA	NA
