GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
CDK4	AMPL	332.832	64.369	0.113	0.116	NA	NA
CLASP2	MUT	332.832	1.015	0.003	0.003	NA	NA
EVI5	MUT	332.832	1.015	0.003	0.003	NA	NA
TP53	MUT	332.832	159.660	0.284	0.284	NA	NA
SDC2	MUT	332.832	1.015	0.003	0.003	NA	NA
PIP4K2C	AMPL	332.832	9.208	0.021	0.076	NA	NA
SRPK1	MUT	332.832	4.061	0.006	0.009	NA	NA
PTEN	MUT	332.832	126.731	0.259	0.314	NA	NA
TCF4	MUT	332.832	1.015	0.003	0.003	NA	NA
RGS12	MUT	12.568	1.814	0.009	0.009	NA	NA
KIF5A	AMPL	2.975	19.046	0.055	0.064	NA	NA
