GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
CDKN2A	DEL	1296.884	174.479	0.421	0.470	NA	NA
CLOCK	AMPL	1296.884	5.831	0.015	0.037	NA	NA
TP53	MUT	1296.884	159.660	0.284	0.284	NA	NA
CFTR	AMPL	1296.884	5.158	0.006	0.021	NA	NA
KDR	AMPL	1296.884	14.455	0.024	0.064	NA	NA
DCN	MUT	1296.884	3.954	0.003	0.006	NA	NA
WNT2	AMPL	1296.884	19.829	0.030	0.030	NA	NA
KIT	AMPL	1296.884	21.746	0.055	0.076	NA	NA
ING3	AMPL	1296.884	3.954	0.003	0.015	NA	NA
EXOC1	AMPL	1296.884	3.954	0.003	0.034	NA	NA
ZNF107	AMPL	5.965	0.018	0.003	0.018	NA	NA
